run_id,final_loss,best_loss,training_time,epochs_to_converge
1,,,0.0,0
2,,,0.0,0
3,0.005069810897111893,0.004264130722731352,0.6879491806030273,100
4,,,0.0,0
5,,,0.0,0
6,,,0.0,0
7,,,0.0,0
8,,,0.0,0
9,,,0.0,0
10,,,0.0,0
11,,,0.0,0
12,,,0.0,0
13,,,0.0,0
14,,,0.0,0
15,,,0.0,0
16,,,0.0,0
17,,,0.0,0
18,,,0.0,0
19,,,0.0,0
20,,,0.0,0
21,,,0.0,0
22,,,0.0,0
23,,,0.0,0
24,,,0.0,0
25,,,0.0,0
26,0.004823552910238504,0.00426672026515007,0.6929080486297607,100
27,,,0.0,0
28,,,0.0,0
29,,,0.0,0
30,0.0049925693310797215,0.004087511450052261,0.686924934387207,100
